[2024-03-12 18:44:38,008] INFO [LocalLog partition=__consumer_offsets-4, dir=/tmp/kafka-logs] Rolled new log segment at offset 3041 in 21 ms. (kafka.log.LocalLog)
[2024-03-12 18:44:38,037] INFO [ProducerStateManager partition=__consumer_offsets-4]Wrote producer snapshot at offset 3041 with 0 producer ids in 29 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-03-12 18:45:32,177] INFO Terminating process due to signal SIGINT (org.apache.kafka.common.utils.LoggingSignalHandler)
[2024-03-12 18:45:32,179] INFO [KafkaServer id=0] shutting down (kafka.server.KafkaServer)
[2024-03-12 18:45:32,180] INFO [KafkaServer id=0] Starting controlled shutdown (kafka.server.KafkaServer)
[2024-03-12 18:45:32,190] INFO [KafkaServer id=0] Controlled shutdown request returned successfully after 6ms (kafka.server.KafkaServer)
[2024-03-12 18:45:32,193] INFO [/config/changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2024-03-12 18:45:32,193] INFO [/config/changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2024-03-12 18:45:32,193] INFO [/config/changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2024-03-12 18:45:32,194] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Stopping socket server request processors (kafka.network.SocketServer)
[2024-03-12 18:45:32,201] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Stopped socket server request processors (kafka.network.SocketServer)
[2024-03-12 18:45:32,201] INFO [data-plane Kafka Request Handler on Broker 0], shutting down (kafka.server.KafkaRequestHandlerPool)
[2024-03-12 18:45:32,203] INFO [data-plane Kafka Request Handler on Broker 0], shut down completely (kafka.server.KafkaRequestHandlerPool)
[2024-03-12 18:45:32,204] INFO [ExpirationReaper-0-AlterAcls]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2024-03-12 18:45:32,204] INFO [ExpirationReaper-0-AlterAcls]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2024-03-12 18:45:32,204] INFO [ExpirationReaper-0-AlterAcls]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2024-03-12 18:45:32,205] INFO [KafkaApi-0] Shutdown complete. (kafka.server.KafkaApis)
